Generation,Avg. fitness,Best fitness,Peak fitness,Hp contacts,Overlaps,Mutation rate
148,8.673666556323932,28.0,31.0,28,0,2687
149,8.88624599367234,27.0,31.0,27,0,2695
150,8.685552423162349,27.0,31.0,27,0,2687
151,8.399524745098903,28.0,31.0,28,0,2705
152,8.470955993144035,27.0,31.0,27,0,2712
153,8.289795650524164,27.0,31.0,27,0,2739
154,8.305137350539916,28.0,31.0,28,0,2709
155,8.128836659145023,27.0,31.0,27,0,2719
156,8.2033049062711,28.0,31.0,28,0,2718
157,8.549384096335762,27.0,31.0,27,0,2685
158,8.535779207867868,27.0,31.0,27,0,2695
159,8.687757836172564,27.0,31.0,27,0,2708
160,8.543378062595895,27.0,31.0,27,0,2740
161,8.494604841231977,27.0,31.0,27,0,2700
162,8.223000782396394,28.0,31.0,28,0,2712
163,8.227133295034237,28.0,31.0,28,0,2693
164,8.960927702351091,28.0,31.0,28,0,2667
165,8.903908898527991,30.0,31.0,30,0,2668
166,8.776427540906313,29.0,31.0,29,0,2658
167,8.60608405582569,28.0,31.0,28,0,2667
168,8.711845794902308,28.0,31.0,28,0,2660
169,8.767320509233121,28.0,31.0,28,0,2666
170,8.971767063731944,29.0,31.0,29,0,2666
171,8.607647652433009,28.0,31.0,28,0,2651
172,8.329206995418089,28.0,31.0,28,0,2679
173,8.638980716741957,30.0,31.0,30,0,2683
174,8.079786704319995,29.0,31.0,29,0,2662
175,8.501456554659867,29.0,31.0,29,0,2620
176,8.910785820367467,29.0,31.0,29,0,2609
177,8.822029774365943,29.0,31.0,29,0,2668
178,8.774358725186628,29.0,31.0,29,0,2679
179,8.624955901865818,30.0,31.0,30,0,2682
180,8.77985289467951,29.0,31.0,29,0,2682
181,8.648836343610101,29.0,31.0,29,0,2660
182,8.726961327010526,29.0,31.0,29,0,2677
183,8.741047048237103,30.0,31.0,30,0,2683
184,8.61248998771984,29.0,31.0,29,0,2676
185,8.776579988583581,29.0,31.0,29,0,2712
186,8.424175400281934,30.0,31.0,30,0,2746
187,8.44780693257108,29.0,31.0,29,0,2753
188,8.407901246158827,28.0,31.0,28,0,2750
189,8.350815495204126,29.0,31.0,29,0,2749
190,8.454420584861053,29.0,31.0,29,0,2738
191,8.357449326996154,30.0,31.0,30,0,2736
192,8.720985398113218,29.0,31.0,29,0,2745
193,8.62022652827803,29.0,31.0,29,0,2746
194,8.481262807988058,29.0,31.0,29,0,2749
195,8.249922082571924,29.0,31.0,29,0,2755
196,8.243240059673829,29.0,31.0,29,0,2746
197,8.460411873889221,29.0,31.0,29,0,2747
198,8.331403910174483,29.0,31.0,29,0,2733
199,8.224436526694438,29.0,31.0,29,0,2708
200,7.821649753498936,29.0,31.0,29,0,2721
201,7.921845588321658,27.0,31.0,27,0,2727
202,7.982136872460497,28.0,31.0,28,0,2689
203,8.103817324608755,28.0,31.0,28,0,2670
204,8.238509879990115,29.0,31.0,29,0,2637
205,8.245581769129755,29.0,31.0,29,0,2636
206,8.554516214994152,29.0,31.0,29,0,2608
207,8.349528345519133,29.0,31.0,29,0,2617
208,8.299520040761957,29.0,31.0,29,0,2618
209,8.295579940304425,30.0,31.0,30,0,2606
210,8.63887216408588,30.0,31.0,30,0,2615
211,8.440666771672591,28.0,31.0,28,0,2603
212,8.766975603527321,28.0,31.0,28,0,2584
213,8.43853987731104,28.0,31.0,28,0,2588
214,8.622296009257445,29.0,31.0,29,0,2564
215,8.747017998894822,29.0,31.0,29,0,2560
216,8.730917000393191,30.0,31.0,30,0,2558
217,8.669890488064578,28.0,31.0,28,0,2551
218,8.62757313696142,29.0,31.0,29,0,2561
219,9.055788452553402,30.0,31.0,30,0,2573
220,8.583914933728773,30.0,31.0,30,0,2590
221,8.592626618279331,30.0,31.0,30,0,2612
222,8.774002545660426,30.0,31.0,30,0,2625
223,8.707881596374314,30.0,31.0,30,0,2628
224,8.366695700463145,30.0,31.0,30,0,2647
225,8.484185556314403,30.0,31.0,30,0,2615
226,8.637172820696923,30.0,31.0,30,0,2610
227,8.49768275070767,29.0,31.0,29,0,2632
228,8.688958204833925,29.0,31.0,29,0,2658
229,8.637800109896634,29.0,31.0,29,0,2653
230,8.568361033169204,29.0,31.0,29,0,2667
231,8.87361937091798,30.0,31.0,30,0,2659
232,8.747080743490846,30.0,31.0,30,0,2662
233,8.628522118400266,30.0,31.0,30,0,2683
234,8.04629306949195,30.0,31.0,30,0,2715
235,8.50297970974432,31.0,31.0,31,0,2719
236,8.659468762506325,31.0,31.0,31,0,2737
237,8.604237018703644,31.0,31.0,31,0,2745
238,8.783446040783401,30.0,31.0,30,0,2753
239,8.529667612185113,30.0,31.0,30,0,2774
240,8.241396849074485,29.0,31.0,29,0,2773
241,8.21969189627292,27.0,31.0,27,0,2785
242,8.23077221647742,27.0,31.0,27,0,2745
243,8.093331828601046,28.0,31.0,28,0,2716
244,8.282945178887955,28.0,31.0,28,0,2710
245,8.270429716309051,29.0,31.0,29,0,2705
246,8.076549781459397,30.0,31.0,30,0,2697
247,8.367189705809178,30.0,31.0,30,0,2742
248,8.362901538714416,31.0,31.0,31,0,2730
249,8.424567913073732,31.0,31.0,31,0,2720
250,8.328404115613829,31.0,31.0,31,0,2717
251,8.430183319998777,31.0,31.0,31,0,2711
252,8.433414278732497,31.0,31.0,31,0,2726
253,8.45181263106825,31.0,31.0,31,0,2737
254,8.658232764661756,31.0,31.0,31,0,2747
255,8.685388682515418,31.0,31.0,31,0,2778
256,8.506682549633439,31.0,31.0,31,0,2824
257,8.38633944354438,31.0,31.0,31,0,2801
258,8.178767562570874,31.0,31.0,31,0,2769
259,8.442955933273923,31.0,31.0,31,0,2765
260,8.213986189787592,31.0,31.0,31,0,2765
261,8.373962597076117,31.0,31.0,31,0,2803
262,8.187833598619278,30.0,31.0,30,0,2806
263,8.16670129311011,30.0,31.0,30,0,2808
264,8.247767129856364,29.0,31.0,29,0,2807
265,8.064922191854137,29.0,31.0,29,0,2767
266,8.239574123511188,29.0,31.0,29,0,2728
267,8.25354698309218,31.0,31.0,31,0,2691
268,8.54818277141421,29.0,31.0,29,0,2672
269,8.300852092071896,30.0,31.0,30,0,2715
270,8.246779196624761,30.0,31.0,30,0,2752
271,8.253642510464779,28.0,31.0,28,0,2764
272,8.023814721039516,27.0,31.0,27,0,2736
273,8.35887157703458,27.0,31.0,27,0,2711
274,8.599916918688686,30.0,31.0,30,0,2701
275,8.26140100580559,28.0,31.0,28,0,2710
276,8.327944206121785,29.0,31.0,29,0,2703
277,8.169494456217866,29.0,31.0,29,0,2691
278,8.025300558407256,28.0,31.0,28,0,2688
279,8.340089075930127,28.0,31.0,28,0,2661
280,8.549988019863806,28.0,31.0,28,0,2660
281,8.829724581663662,30.0,31.0,30,0,2666
282,8.478052894873542,30.0,31.0,30,0,2705
283,8.86720594519806,30.0,31.0,30,0,2736
284,8.312101279288385,29.0,31.0,29,0,2730
285,8.252073201446759,30.0,31.0,30,0,2747
286,8.231414638266703,30.0,31.0,30,0,2726
287,8.268061758341274,30.0,31.0,30,0,2716
288,8.23074555745971,29.0,31.0,29,0,2714
289,8.631950455005638,28.0,31.0,28,0,2666
290,8.392343806683716,28.0,31.0,28,0,2654
291,9.068006100555278,28.0,31.0,28,0,2644
292,9.017028641785307,27.0,31.0,27,0,2648
293,8.848297024576448,27.0,31.0,27,0,2718
294,8.776010306974676,28.0,31.0,28,0,2686
295,8.499663633739566,28.0,31.0,28,0,2686
296,8.612620581534635,27.0,31.0,27,0,2709
297,8.691060213433365,27.0,31.0,27,0,2709
298,8.51585079997062,28.0,31.0,28,0,2733
299,8.837182571931779,30.0,31.0,30,0,2735
300,8.910758586082926,30.0,31.0,30,0,2707
301,8.693143744159872,30.0,31.0,30,0,2687
302,8.646431178729806,30.0,31.0,30,0,2681
303,8.421552150078668,30.0,31.0,30,0,2669
304,8.704708275612415,30.0,31.0,30,0,2668
305,8.626602554774227,30.0,31.0,30,0,2663
306,8.88498081652572,29.0,31.0,29,0,2678
307,8.681418907208414,29.0,31.0,29,0,2722
308,8.743188359888975,30.0,31.0,30,0,2730
309,8.339280637171415,29.0,31.0,29,0,2727
310,7.9672969952168415,29.0,31.0,29,0,2750
311,8.133000117903178,29.0,31.0,29,0,2717
312,8.114512132416657,29.0,31.0,29,0,2717
313,8.553073510818088,29.0,31.0,29,0,2735
314,8.422095990578814,29.0,31.0,29,0,2729
315,8.404814325834273,29.0,31.0,29,0,2747
316,8.23156855866875,28.0,31.0,28,0,2758
317,8.12258476147898,28.0,31.0,28,0,2757
318,8.069694195895789,28.0,31.0,28,0,2739
319,8.210778710281806,28.0,31.0,28,0,2710
320,8.090736923009601,28.0,31.0,28,0,2666
321,8.232599671835851,26.0,31.0,26,0,2662
322,8.350205187333867,27.0,31.0,27,0,2664
323,8.279755911409662,29.0,31.0,29,0,2650
324,8.191088476340594,28.0,31.0,28,0,2641
325,8.562874095544748,28.0,31.0,28,0,2637
326,8.995966942024866,30.0,31.0,30,0,2640
327,8.742497635618218,30.0,31.0,30,0,2661
328,8.44556693311528,30.0,31.0,30,0,2644
329,8.741495175113744,30.0,31.0,30,0,2650
330,8.326617766125215,30.0,31.0,30,0,2655
331,8.155187368232388,30.0,31.0,30,0,2657
332,8.572225577856928,28.0,31.0,28,0,2641
333,8.803564346269617,27.0,31.0,27,0,2640
334,8.757484467774152,30.0,31.0,30,0,2632
335,8.440588191707489,30.0,31.0,30,0,2621
336,8.533955797927263,30.0,31.0,30,0,2643
337,8.530594968118912,29.0,31.0,29,0,2650
338,8.808911210232003,30.0,31.0,30,0,2703
339,8.788185003998635,29.0,31.0,29,0,2730
340,8.956463509640086,29.0,31.0,29,0,2768
341,8.605632334668282,29.0,31.0,29,0,2763
342,8.46607652401147,28.0,31.0,28,0,2753
343,8.600464368531226,28.0,31.0,28,0,2724
344,8.433830364016172,28.0,31.0,28,0,2694
345,8.473568691034002,28.0,31.0,28,0,2736
346,8.157550275493849,28.0,31.0,28,0,2746
